region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_pooled,aspline_40 | degree 1,318996,307964.2178274272,-1.0,4.6,3.458282289612663,0.27234650365037816,0.3425508242864559,0.02025864981949132,2.378939199410013e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_pooled,aspline_40 | degree 3,318996,304965.49142273667,-1.0,11.4,4.398333702386023,0.2954883852283511,0.42348855703537697,0.01964830698177564,0.000169210300242489
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_pooled,loess | 3 fold,318996,317145.8239076614,0.43999999999999995,-1.0,1.6537415022972553,0.22990773970916925,0.32450468802353283,0.01823076643487442,0.0013343797267822842
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_pooled,loess | 5 fold,318996,317655.6165641785,0.4,-1.0,1.5531612022849637,0.22232094705823696,0.3047283641486425,0.016996844690777363,0.0017282221778689613
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_averaged,aspline_20 | degree 1,318996,309969.1624813829,-1.0,5.4,2.829765112608647,0.25095153012648785,0.33133800867854646,0.0158868771629894,0.0005226422617356139
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_averaged,aspline_20 | degree 3,318996,307254.9761972838,-1.0,17.8,3.680617876937717,0.3088958361602855,0.46850597816904377,0.01908938890145042,6.169985019838302e-05
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_averaged,aspline_40 | degree 1,318996,308066.9378675836,-1.0,3.8,3.4260812462903645,0.31922703618971077,0.42241212604498557,0.019205604015926022,0.00010467340140524848
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_averaged,aspline_40 | degree 3,318996,307631.09569073597,-1.0,12.8,3.5627106011561387,0.31297009097089795,0.4614478031977063,0.018992604698112158,7.309476084044628e-05
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_averaged,loess | 3 fold,318996,319981.9659225464,0.44000000000000006,-1.0,1.6813201556545192,0.23168912740595116,0.3341661629666454,0.01743056422834104,0.00010602908603717489
"Atlanta-Sandy Springs-Roswell, GA",2020-11-08,32_averaged,loess | 5 fold,318996,320137.1322221756,0.43,-1.0,1.4656087959936357,0.2290380330162339,0.32291701757289365,0.01772156741012872,0.00011694295183099059
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-08,96_direct,aspline_20 | degree 1,353742,355135.3359114191,-1.0,6.0,0.5429373626267807,0.28960222275748115,0.3700180898273423,0.01500426875280774,0.0021255700819698643
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-08,96_direct,aspline_20 | degree 3,353742,354105.3463376067,-1.0,6.2,0.5479522946061796,0.26710098891363526,0.3481056237228907,0.014782826714567283,0.00012713971137723784
