region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Baltimore-Columbia-Towson, MD",2020-10-14,96_direct,aspline_40 | degree 3,84844,81498.4180600026,-1.0,4.0,3.943215713541793,0.06311069366991694,0.08023318217725672,0.020437451575952132,1.3215840656573734e-05
"Baltimore-Columbia-Towson, MD",2020-10-14,96_direct,loess | 3 fold,84844,82831.77074940999,0.3333333333333333,-1.0,2.3716812627763972,0.059448715247112864,0.07894784237397444,0.021168617688906866,8.068494941643333e-05
"Baltimore-Columbia-Towson, MD",2020-10-14,96_direct,loess | 5 fold,84844,82831.44528698921,0.3499999999999999,-1.0,2.372064863762656,0.05936908061552253,0.08051762009648904,0.021074057842724397,8.068494941643333e-05
"Baltimore-Columbia-Towson, MD",2020-10-14,48_direct,aspline_20 | degree 1,84844,81894.82552744185,-1.0,6.0,3.475996502472958,0.05856352103975243,0.07192657248886797,0.018282722592871035,1.3518097794484873e-06
"Baltimore-Columbia-Towson, MD",2020-10-14,48_direct,aspline_20 | degree 3,84844,81560.48663795057,-1.0,15.333333333333334,3.8700595941368214,0.06254035585678493,0.0759392710118741,0.0177191674106141,6.402855001012378e-07
"Baltimore-Columbia-Towson, MD",2020-10-14,48_direct,aspline_40 | degree 1,84844,81965.94115670898,-1.0,28.666666666666668,3.392177223246211,0.0803227044441797,0.10389226627569309,0.020280795869348733,8.989094653818105e-10
"Baltimore-Columbia-Towson, MD",2020-10-14,48_direct,aspline_40 | degree 3,84844,81247.65537073459,-1.0,16.666666666666668,4.238773076782586,0.06351120728653063,0.08063856701474133,0.016300356017879932,5.129526134221388e-07
"Baltimore-Columbia-Towson, MD",2020-10-14,48_direct,loess | 3 fold,84844,83787.0866309007,0.3499999999999999,-1.0,1.2457137441649369,0.0475015666173336,0.06097243467130526,0.017220901752163998,4.268097106963077e-06
"Baltimore-Columbia-Towson, MD",2020-10-14,48_direct,loess | 5 fold,84844,83787.77443043391,0.3333333333333333,-1.0,1.2449030804371446,0.056029794644744634,0.07164983552072973,0.018879574963371667,1.2860739923015174e-06
"Baltimore-Columbia-Towson, MD",2020-10-14,48_pooled,aspline_20 | degree 1,84844,82281.99780150318,-1.0,15.0,3.0196622018019235,0.046657135999559333,0.06492141235878647,0.010656505392356033,0.03954639277385696
"Baltimore-Columbia-Towson, MD",2020-10-14,48_pooled,aspline_20 | degree 3,84844,82139.75936886588,-1.0,4.333333333333333,3.1873092158951883,0.04342223993190097,0.05883390196531246,0.010686642384047033,0.056269902403130005
"Baltimore-Columbia-Towson, MD",2020-10-14,48_pooled,aspline_40 | degree 1,84844,82253.45189390077,-1.0,6.0,3.0533073712922967,0.04729903379556577,0.0652550564771936,0.009879064185601832,0.06316354190548408
"Baltimore-Columbia-Towson, MD",2020-10-14,48_pooled,aspline_40 | degree 3,84844,82156.77731795791,-1.0,28.0,3.1672512871176406,0.0766143332506647,0.12722405865419487,0.015617571149238165,1.8763009501284362e-06
"Baltimore-Columbia-Towson, MD",2020-10-14,48_pooled,loess | 3 fold,84844,84654.40892664592,0.3,-1.0,0.281444079482572,0.03345400165909087,0.049334208630786136,0.010237505414349134,0.055335398870475026
"Baltimore-Columbia-Towson, MD",2020-10-14,48_pooled,loess | 5 fold,84844,84644.81222256024,0.26666666666666666,-1.0,0.2347694326525779,0.037660075525578963,0.0549737254821194,0.0101417388344179,0.05533938468940097
"Baltimore-Columbia-Towson, MD",2020-10-14,48_averaged,aspline_20 | degree 1,84844,81370.50477050887,-1.0,4.333333333333333,4.0939786307707555,0.056966940198254566,0.0733598503467013,0.014598483058782032,0.004285319250749409
"Baltimore-Columbia-Towson, MD",2020-10-14,48_averaged,aspline_20 | degree 3,84844,80762.13410327627,-1.0,2.6666666666666665,4.811024818164777,0.06005791491168663,0.07565581690372018,0.014379851726884002,0.0008951829185645331
"Baltimore-Columbia-Towson, MD",2020-10-14,48_averaged,aspline_40 | degree 1,84844,81321.51959209466,-1.0,5.666666666666667,4.151714214211185,0.0555880224334012,0.0725603240044041,0.013166670440999733,0.04101058939600122
"Baltimore-Columbia-Towson, MD",2020-10-14,48_averaged,aspline_40 | degree 3,84844,81031.2690067586,-1.0,3.3333333333333335,4.493813343596968,0.05467293538841303,0.06811583886287596,0.013418388655865567,0.0018492340321945014
"Baltimore-Columbia-Towson, MD",2020-10-14,48_averaged,loess | 3 fold,84844,83144.88926561673,0.4666666666666666,-1.0,3.101590881102917,0.0540992292770646,0.07435878224358013,0.0119595388984726,0.0021864972633383536
