region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Phoenix-Mesa-Scottsdale, AZ",2020-11-02,32_averaged,aspline_20 | degree 3,91561,88335.37150877304,-1,5,3.5229284206452114,0.08985480689706755,0.11544916394137067,0.021534399167647655,1.7541523789077473e-14
"Phoenix-Mesa-Scottsdale, AZ",2020-11-02,32_averaged,aspline_40 | degree 1,91561,88055.55054330362,-1,6,3.828539942438794,0.0908728621855878,0.11401846289176175,0.022598214216114076,6.661338147750939e-16
"Phoenix-Mesa-Scottsdale, AZ",2020-11-02,32_averaged,aspline_40 | degree 3,91561,88591.00593733237,-1,3,3.2437326620150775,0.09898202296983714,0.1225942045270524,0.021266517391170026,3.9190872769268026e-14
"Phoenix-Mesa-Scottsdale, AZ",2020-11-02,32_averaged,loess | 3 fold,91561,92682.4603729248,0.30000000000000004,-1,1.2248232030283686,0.0870129963087709,0.11307973994891882,0.022161304176719132,2.55351295663786e-15
"Phoenix-Mesa-Scottsdale, AZ",2020-11-02,32_averaged,loess | 5 fold,91561,92576.81300926208,0.25,-1,1.1094385265146567,0.08488623067847154,0.1114662179112889,0.022471812463435104,9.992007221626409e-16
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,96_direct,aspline_20 | degree 1,320854,311393.0712122181,-1,8,2.948670980502632,0.15009003595982576,0.20704210535098544,0.004794643878488575,0.37776031867062443
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,96_direct,aspline_20 | degree 3,320854,310359.26236752555,-1,2,3.2708763588655447,0.17692782010536023,0.22145286903501757,0.007866523949292437,0.02294894985873508
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,96_direct,aspline_40 | degree 1,320854,311141.33481052687,-1,8,3.02712922060287,0.1696710879256546,0.25038868568740785,0.005072051506827893,0.31107598316423357
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,96_direct,aspline_40 | degree 3,320854,310333.4357302945,-1,2,3.2789257013175774,0.17840779914743415,0.22470348808016796,0.0076792730114845775,0.028313570250563025
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,96_direct,loess | 3 fold,320854,315905.99370098114,0.25,-1,1.542136391947384,0.11039922190499289,0.14579756134416977,0.005609292802636778,0.20572565747330895
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,96_direct,loess | 5 fold,320854,315863.67057037354,0.30000000000000004,-1,1.5553271673803242,0.10715189046184251,0.1419459405971543,0.005211331542311792,0.28015335758478666
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_direct,aspline_20 | degree 1,320854,305950.6269318624,-1,9,4.644907985606419,0.16436511799508324,0.2045667260150817,0.015201799862089804,1.1623430595797402e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_direct,aspline_20 | degree 3,320854,306623.7236192342,-1,9,4.435125128801816,0.16619959332280215,0.2086942421106826,0.015599532510769065,4.81160656873314e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_direct,aspline_40 | degree 1,320854,306374.06462266,-1,15,4.512935907715038,0.19561492816042064,0.2621742651835753,0.015134421849611501,1.3674161125631912e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_direct,aspline_40 | degree 3,320854,311042.599094081,-1,40,3.0579020071181997,0.39830307022473216,0.7128537041462754,0.01972631336714259,1.9670931550308524e-12
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_direct,loess | 3 fold,320854,313388.1585922241,0.30000000000000004,-1,2.3268656173137563,0.15175979329157996,0.18512742529313028,0.012894481073776831,1.2218272927300156e-05
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_direct,loess | 5 fold,320854,313391.58710098267,0.2,-1,2.325797060038938,0.1550367134494575,0.20322814636730968,0.01223272498573097,4.111999028777458e-05
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_pooled,aspline_20 | degree 1,320854,311306.3345575976,-1,8,2.975704040592424,0.18014086746004565,0.22364206595465608,0.010475176817768661,0.0007346270775087094
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_pooled,aspline_20 | degree 3,320854,311967.96214038506,-1,20,2.769495739375211,0.18155899099227382,0.23528485820551365,0.009291155037363885,0.003989473297546398
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_pooled,aspline_40 | degree 1,320854,312282.55428352754,-1,18,2.6714473612523015,0.20325321875862865,0.2791206284234859,0.00959791428011536,0.0026428152431545726
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_pooled,aspline_40 | degree 3,320854,311669.9489781069,-1,14,2.8623769757874613,0.20300167605732639,0.26951191539770536,0.009240655298449196,0.004280169011748547
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_pooled,loess | 3 fold,320854,319520.56513118744,0.25,-1,0.41558929257935423,0.12245958147721678,0.1572623313812686,0.007864258347817343,0.02304941211842315
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_pooled,loess | 5 fold,320854,319520.56513118744,0.25,-1,0.41558929257935423,0.12245958147721678,0.1572623313812686,0.007864258347817343,0.02304941211842315
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_averaged,aspline_20 | degree 1,320854,323463.9621148522,-1,5,0.8134422867884499,0.2045213095558646,0.2933546245056472,0.012960363538551345,1.0121722363365393e-05
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_averaged,aspline_20 | degree 3,320854,324433.9352865405,-1,5,1.1157521135907547,0.19103071832195492,0.2657463010442672,0.01325620154047158,5.826684317922215e-06
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_averaged,aspline_40 | degree 1,320854,323777.0929999965,-1,7,0.9110352372096034,0.2097722629437463,0.2915025876087506,0.013410062382859356,4.3238757270192e-06
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_averaged,aspline_40 | degree 3,320854,323350.84275039897,-1,18,0.7781865740801006,0.22876520927588342,0.3179996602811911,0.01395731806090661,1.4701489807755763e-06
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_averaged,loess | 3 fold,320854,333093.51293468475,0.45,-1,3.8146673984693202,0.20044608165352112,0.25905829196663493,0.010758344495037708,0.00043819121315002985
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,48_averaged,loess | 5 fold,320854,334205.1608095169,0.25,-1,4.161132730000844,0.18798291363215186,0.2789983099769583,0.010972357525182996,0.00032142357239417496
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_direct,aspline_20 | degree 1,320854,306616.84540110733,-1,20,4.437268850908097,0.2837523859913114,0.4221004708437292,0.025731024647683204,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_direct,aspline_20 | degree 3,320854,306793.46979900985,-1,20,4.3822206364858,0.28470346307881633,0.4165883643675809,0.025549282611368324,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_direct,aspline_40 | degree 1,320854,308974.87454301846,-1,5,3.7023460692344607,0.25375451423738443,0.3734836265909501,0.02811740257627715,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_direct,aspline_40 | degree 3,320854,307385.53815088916,-1,9,4.197691738021294,0.2774890106081293,0.41866905264372556,0.027660798745583692,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_direct,loess | 3 fold,320854,317614.8272304535,0.4,-1,1.0095472612298768,0.17155166765537258,0.21615817801697992,0.01970431002869172,1.326938559031987e-12
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_direct,loess | 5 fold,320854,317197.79175662994,0.45,-1,1.139523971454324,0.15980603655072184,0.20218853967729716,0.018860813299174606,1.3216983063557564e-11
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_pooled,aspline_20 | degree 1,320854,308583.2090454564,-1,15,3.824415763725441,0.20063080730840396,0.27531877989052256,0.008904221309713953,0.006657395851902392
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_pooled,aspline_20 | degree 3,320854,309242.3950242347,-1,12,3.6189684329212914,0.22192689902774426,0.28077881718764675,0.009562009167769545,0.002777252885757142
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_pooled,aspline_40 | degree 1,320854,306966.9007865927,-1,3,4.328167706622737,0.2855454492881856,0.38491202417153664,0.015247957968004183,9.886855789620341e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_pooled,aspline_40 | degree 3,320854,309398.79223204707,-1,13,3.5702243911414326,0.22406541165359622,0.2995625220072826,0.010096649168988503,0.0013073260468963177
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_pooled,loess | 3 fold,320854,321674.95916080475,0.4,-1,0.2558668929808413,0.13288241591765704,0.18245112449553844,0.010885074905012726,0.0003848604233113173
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_pooled,loess | 5 fold,320854,321774.4631214142,0.25,-1,0.2868791167989754,0.13822778186979873,0.19726229517295976,0.010630189660957079,0.0005798678379822508
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_averaged,aspline_20 | degree 1,320854,320751.17531423864,-1,5,0.03204718836647067,0.26745640402300763,0.3601670423990778,0.014564151739735742,3.962217013375735e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_averaged,aspline_20 | degree 3,320854,322716.6662854854,-1,8,0.5805339143303118,0.2799118972759476,0.36499649264545203,0.01547685109117558,5.601488950457423e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_averaged,aspline_40 | degree 1,320854,321892.99802675296,-1,5,0.32382268157883676,0.2296583982043592,0.339473271693887,0.014469719460596386,4.888260627389229e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_averaged,aspline_40 | degree 3,320854,321784.2330840967,-1,17,0.2899241038281242,0.3330034797805691,0.45201614012589103,0.02028957870006698,2.1893598045608087e-13
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_averaged,loess | 3 fold,320854,336929.7277212143,0.35000000000000003,-1,5.010293691590037,0.2127428271004155,0.2999146919146747,0.013784170567197107,1.978280785408515e-06
"Atlanta-Sandy Springs-Roswell, GA",2020-11-03,32_averaged,loess | 5 fold,320854,336929.7277212143,0.35000000000000003,-1,5.010293691590037,0.2127428271004155,0.2999146919146747,0.013784170567197107,1.978280785408515e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,96_direct,aspline_20 | degree 1,346906,342738.01480567013,-1,6,1.2014739423157486,0.14779194792219294,0.21852520141204648,0.00690135360455002,0.06589045585792386
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,96_direct,aspline_20 | degree 3,346906,341721.42787355965,-1,4,1.4945178597200264,0.11252938318711588,0.17875776317148084,0.005262744282950038,0.2746509427670992
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,96_direct,aspline_40 | degree 1,346906,341833.7477063645,-1,11,1.462140260945475,0.2128143200740713,0.3079226586363304,0.005279524482915798,0.27151425976519417
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,96_direct,aspline_40 | degree 3,346906,341603.48691547127,-1,15,1.528515818270291,0.20516534669697664,0.3077140055991717,0.005423695340522505,0.24320632715533097
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,96_direct,loess | 3 fold,346906,348914.7689523697,0.30000000000000004,-1,0.5790528132605633,0.07794916544450328,0.14271563157643005,0.0043021336889131345,0.5209260886525555
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,96_direct,loess | 5 fold,346906,349091.2268924713,0.2,-1,0.6299190248860825,0.14026448083323345,0.22075094611646884,0.004951202474929528,0.34399794633236036
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_direct,aspline_20 | degree 1,346906,337560.29678789835,-1,11,2.6940160193544225,0.20375279904889293,0.2949345149719585,0.013902547910939644,2.1015103293109405e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_direct,aspline_20 | degree 3,346906,339070.43954492145,-1,20,2.2586984529176637,0.24915894099436287,0.37589367784923,0.016898681561112072,3.0288255237209682e-09
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_direct,aspline_40 | degree 1,346906,339188.57437405956,-1,27,2.2246446086087976,0.3184969950636155,0.4452239885664657,0.017596667823104928,5.650132584023027e-10
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_direct,aspline_40 | degree 3,346906,339975.3501153582,-1,40,1.9978466456739896,0.3471578489050901,0.6216179878877778,0.024294513022251663,0.0
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_direct,loess | 3 fold,346906,348174.6585006714,0.35000000000000003,-1,0.36570670460337573,0.14373563839631204,0.21898535392979263,0.013735854417036758,2.842981585260418e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_direct,loess | 5 fold,346906,347313.7848730087,0.4,-1,0.11754909774080817,0.14043441076594584,0.23300981716726957,0.012968580081530096,1.2128264517019538e-05
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_pooled,aspline_20 | degree 1,346906,351536.4381047436,-1,5,1.3347817866348821,0.2551640014784678,0.3383098833786842,0.00673390512256461,0.07957432723165703
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_pooled,aspline_20 | degree 3,346906,351697.7863867093,-1,5,1.381292450032375,0.21382120513170147,0.304506528127258,0.006315323611220669,0.11747435921134652
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_pooled,aspline_40 | degree 1,346906,351944.84736559645,-1,40,1.4525108719931186,0.32500960492067105,0.44519757161514556,0.007921215825936412,0.023405942387446865
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_pooled,aspline_40 | degree 3,346906,350730.5630960252,-1,40,1.1024782206203416,0.3058002841842646,0.3977857688173842,0.0061027264001349,0.14224454315898793
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_pooled,loess | 3 fold,346906,363735.29186439514,0.45,-1,4.851254191162776,0.22200162406252755,0.31067050409903435,0.008981729198103472,0.006386918574007527
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_pooled,loess | 5 fold,346906,364730.65960884094,0.30000000000000004,-1,5.138181411921656,0.23206323701407536,0.335032989753806,0.008540359868084768,0.011214498363678271
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_averaged,aspline_20 | degree 1,346906,347849.7595845441,-1,6,0.272050522200282,0.21571452302531544,0.27485908534195314,0.006368191051762728,0.11071643525739294
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_averaged,aspline_20 | degree 3,346906,344380.0967380074,-1,2,0.7281232558654548,0.17042637839586988,0.23186361326969043,0.00710278846095741,0.05538041001213112
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_averaged,aspline_40 | degree 1,346906,348231.3766950311,-1,14,0.3820564346050877,0.2227644759599014,0.31097063390486157,0.006443023531911257,0.10377929239102412
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_averaged,aspline_40 | degree 3,346906,345372.0946238884,-1,40,0.4421674390502392,0.32099116961377505,0.5242739826725216,0.012093566644442,6.296898618785018e-05
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,48_averaged,loess | 3 fold,346906,359323.7949142456,0.4,-1,3.579584934894642,0.17958803010357913,0.2445697928856171,0.00924263419174931,0.00446845332597523
